Ticker,Time,Millisec,LastPrice,Volume,BidVolume1,BidPrice1,AskVolume1,AskPrice1
IF1502,13:02:57,600,3404.2,241910,10,3404,9,3404.4
IF1502,13:02:58,100,3403.8,241926,1,3403.8,4,3404
IF1502,13:02:58,600,3403.6,241942,4,3403.6,8,3404
IF1502,13:02:59,100,3403.6,241956,1,3403.6,5,3403.8
IF1502,13:02:59,600,3403.6,241965,12,3403.2,2,3403.4
IF1502,13:03:00,100,3403.6,241971,4,3403.4,8,3403.6
IF1502,13:03:00,600,3403.4,241975,3,3403.4,5,3403.6
IF1502,13:03:01,100,3403.8,241999,8,3403.4,6,3403.8
IF1502,13:03:01,600,3403.8,241999,4,3403.6,6,3403.8
IF1502,13:03:02,100,3403.6,242014,20,3403.4,4,3403.6
IF1502,13:03:02,600,3403.4,242017,6,3403.4,6,3403.6
IF1502,13:03:03,100,3403.4,242033,1,3403.4,7,3403.6
IF1502,13:03:03,600,3403.2,242037,12,3403.2,2,3403.4
IF1502,13:03:04,100,3403.4,242038,10,3403.2,5,3403.4
IF1502,13:03:04,600,3403.4,242039,24,3403.2,4,3403.4
IF1502,13:03:05,100,3403.8,242051,9,3403.4,5,3403.8
IF1502,13:03:05,600,3403.8,242051,6,3403.6,5,3403.8
IF1502,13:03:06,100,3404,242062,22,3403.8,12,3404.2
IF1502,13:03:06,600,3404.6,242082,1,3404.4,19,3404.6
IF1502,13:03:07,100,3404.6,242083,7,3404.2,18,3404.6
IF1502,13:03:07,600,3404.8,242111,5,3404.6,3,3405
IF1502,13:03:08,100,3405,242113,1,3404.8,9,3405
IF1502,13:03:08,600,3404.8,242123,7,3404.8,1,3405
IF1502,13:03:09,100,3404.8,242127,1,3404.8,3,3405
IF1502,13:03:09,600,3404.8,242130,10,3404.6,3,3404.8
IF1502,13:03:10,100,3404.6,242133,7,3404.6,3,3404.8
IF1502,13:03:10,600,3404.6,242139,8,3404.6,2,3404.8
IF1502,13:03:11,100,3404.8,242148,4,3404.6,2,3404.8
IF1502,13:03:11,600,3404.8,242151,10,3404.6,7,3405
IF1502,13:03:12,100,3404.8,242155,4,3404.8,5,3405
IF1502,13:03:12,600,3405,242162,11,3404.8,2,3405
IF1502,13:03:13,100,3404.8,242166,8,3404.8,12,3405.2
IF1502,13:03:13,600,3404.8,242186,7,3404.8,6,3405.2
IF1502,13:03:14,100,3405,242193,1,3405,8,3405.2
IF1502,13:03:14,600,3404.8,242208,5,3404.6,8,3405
IF1502,13:03:15,100,3404.6,242211,8,3404.6,2,3404.8
IF1502,13:03:15,600,3404.2,242232,7,3404,2,3404.2
IF1502,13:03:16,100,3404,242325,1,3404,2,3404.2
IF1502,13:03:16,600,3404.2,242329,6,3404.2,2,3404.4
IF1502,13:03:17,100,3404,242339,4,3404,4,3404.2
IF1502,13:03:17,600,3403.8,242351,11,3403.6,1,3403.8
IF1502,13:03:18,100,3403.6,242377,1,3403.4,8,3403.8
IF1502,13:03:18,600,3403.6,242381,15,3403.4,7,3403.8
IF1502,13:03:19,100,3403.4,242382,14,3403.4,4,3403.6
IF1502,13:03:19,600,3403.6,242384,4,3403.4,5,3403.6
IF1502,13:03:20,100,3403.4,242389,19,3403.2,6,3403.6
IF1502,13:03:20,600,3403.4,242394,2,3403.4,5,3403.6
IF1502,13:03:21,100,3403.8,242402,4,3403.6,4,3403.8
IF1502,13:03:21,600,3403.8,242409,4,3403.6,2,3403.8
IF1502,13:03:22,100,3403.4,242412,7,3403.6,1,3403.8
IF1502,13:03:22,600,3403.8,242413,5,3403.6,6,3404
IF1502,13:03:23,100,3404,242417,3,3403.8,8,3404
IF1502,13:03:23,600,3404,242419,3,3403.8,6,3404
IF1502,13:03:24,100,3404,242424,1,3403.8,6,3404
IF1502,13:03:24,600,3403.8,242427,4,3403.8,2,3404
IF1502,13:03:25,100,3404,242436,21,3403.6,1,3404
IF1502,13:03:25,600,3403.6,242448,7,3403.4,5,3403.6
IF1502,13:03:26,100,3403.4,242451,4,3403.4,3,3403.6
IF1502,13:03:26,600,3403.4,242456,20,3403.2,3,3403.4
IF1502,13:03:27,100,3403.4,242470,8,3403.2,3,3403.4
IF1502,13:03:27,600,3403.6,242483,4,3403.4,8,3403.8
